id_pelanggan,nama,umur,jenis_kelamin,kota,jenis_produk,nama_produk,total_transaksi,tanggal_transaksi
1091,Joko,22,L,Bogor,Kosmetik,Lipstik,1500000,06-01-2024
1092,Eko,35,L,Jakarta,Elektronik,Mouse,1500000,23/01/2024
1093,Sari,22,L,,Kosmetik,Skincare Set,2000000,2024/01/16
1094,Fajar,18,P,DEPOK,Fashion,Kaos,,2024/01/03
1095,Citra,120,L,Surabaya,Fashion,Dress,,19-01-2024
1096,Hadi,22,P,,Elektronik,Mouse,,20/01/2024
1097,Maman,,P,Bogor,Kosmetik,Bedak,2000000,2024-01-10
1098,Dewi,30,L,Bogor,Kosmetik,Bedak,500000,06/01/2024
1099,Citra,25,L,jakarta,Elektronik,Headset,99999999,2024/01/20
1100,Budi,30,P,Bogor,Fashion,Tas,500000,22/01/2024
1101,Gita,45,L,bandung,Fashion,Dress,99999999,05-01-2024
1102,Citra,18,L,Bogor,Elektronik,Mouse,99999999,27-01-2024
1103,Dewi,,P,jakarta,Fashion,Sepatu,3000000,2024/01/18
1104,Citra,120,L,jakarta,Fashion,Sepatu,3000000,2024-01-09
1105,Hadi,120,L,Bogor,Elektronik,Mouse,500000,25/01/2024
1106,Rudi,35,L,,Fashion,Tas,99999999,2024/01/27
1107,Sari,40,P,Bekasi,Elektronik,Power Bank,99999999,04/01/2024
1108,Nina,,P,jakarta,Fashion,Kaos,2000000,03-01-2024
1109,Kiki,22,P,bandung,Fashion,Kaos,99999999,2024/01/28
1110,Budi,30,P,,Fashion,Tas,99999999,2024-01-15
1111,Ika,abc,L,Bogor,Elektronik,Headset,99999999,2024-01-16
1112,Hadi,25,P,bandung,Elektronik,Laptop,3000000,2024-01-14
1113,Dewi,,L,Surabaya,Elektronik,Headset,99999999,10-01-2024
1114,Sari,,L,DEPOK,Fashion,Dress,2000000,07/01/2024
1115,Ika,45,P,bandung,Elektronik,Power Bank,,01-01-2024
1116,Joko,120,P,Surabaya,Kosmetik,Skincare Set,3000000,16-01-2024
1117,Maman,,P,Depok,Fashion,Dress,3000000,13/01/2024
1118,Budi,40,P,jakarta,Fashion,Tas,99999999,26/01/2024
1119,Budi,25,P,Bandung,Fashion,Tas,500000,2024/01/17
1120,Eko,45,L,Bandung,Elektronik,Headset,,09-01-2024
1100,Maman,22,P,bandung,Kosmetik,Skincare Set,1500000,2024/01/21
1122,Budi,120,L,Depok,Kosmetik,Bedak,99999999,30-01-2024
1123,Citra,45,L,Bandung,Elektronik,Headset,1000000,23-01-2024
1124,Budi,40,L,Bogor,Elektronik,Power Bank,1500000,14/01/2024
1125,Nina,120,L,Surabaya,Elektronik,Smartphone,500000,2024/01/20
1126,Hadi,,L,Depok,Kosmetik,Skincare Set,99999999,2024/01/09
1127,Andi,,P,bandung,Fashion,Dress,500000,15-01-2024
1128,Joko,45,P,DEPOK,Kosmetik,Skincare Set,1000000,2024/01/13
1129,Hadi,45,P,,Elektronik,Power Bank,99999999,2024-01-10
1130,Maman,35,L,,Kosmetik,Bedak,,2024-01-24
1131,Sari,35,L,,Kosmetik,Skincare Set,1000000,21/01/2024
1132,Ika,25,L,Jakarta,Kosmetik,Skincare Set,,2024-01-15
1133,Lina,25,L,Bogor,Kosmetik,Skincare Set,99999999,14/01/2024
1134,Eko,abc,P,bandung,Elektronik,Mouse,1500000,27/01/2024
1135,Sari,35,P,Bandung,Fashion,Tas,500000,05/01/2024
1136,Maman,abc,P,Bandung,Kosmetik,Skincare Set,500000,2024-01-09
1137,Lina,35,P,Bekasi,Fashion,Kaos,99999999,2024/01/08
1138,Kiki,120,L,Bandung,Elektronik,Headset,99999999,2024/01/10
1139,Eko,18,L,Bogor,Elektronik,Headset,500000,04/01/2024
1140,Eko,45,P,Bekasi,Kosmetik,Bedak,99999999,2024/01/23
1141,Eko,45,L,DEPOK,Kosmetik,Bedak,2000000,31-01-2024
1142,Lina,30,P,DEPOK,Elektronik,Smartphone,,2024-01-12
1143,Lina,abc,P,Jakarta,Kosmetik,Skincare Set,1500000,2024-01-07
1144,Citra,30,L,Jakarta,Fashion,Sepatu,1000000,05/01/2024
1145,Gita,120,L,Depok,Elektronik,Power Bank,,2024-01-05
1146,Eko,25,P,Surabaya,Fashion,Kaos,99999999,2024-01-28
1147,Andi,40,L,,Elektronik,Power Bank,500000,06-01-2024
1148,Eko,45,L,Bandung,Elektronik,Headset,2000000,25-01-2024
1149,Dewi,,L,,Kosmetik,Lipstik,99999999,26-01-2024
1150,Andi,18,P,jakarta,Fashion,Tas,99999999,2024/01/04
1151,Rudi,22,L,Bekasi,Kosmetik,Bedak,1000000,03/01/2024
1152,Kiki,45,P,DEPOK,Fashion,Tas,500000,2024-01-26
1153,Gita,45,P,Depok,Kosmetik,Skincare Set,1500000,2024/01/27
1154,Nina,22,P,jakarta,Fashion,Sepatu,99999999,09-01-2024
1155,Sari,22,L,Bandung,Elektronik,Laptop,2000000,04-01-2024
1156,Budi,120,P,Bandung,Elektronik,Headset,1500000,2024/01/28
1157,Budi,35,P,Bekasi,Kosmetik,Lipstik,3000000,17/01/2024
1158,Sari,30,L,Bekasi,Elektronik,Mouse,1500000,04-01-2024
1159,Hadi,45,L,,Kosmetik,Bedak,,23-01-2024
1160,Fajar,35,P,Bekasi,Elektronik,Power Bank,500000,06/01/2024
1161,Maman,22,L,Jakarta,Kosmetik,Lipstik,99999999,17/01/2024
1162,Nina,,P,Surabaya,Fashion,Sepatu,1500000,24-01-2024
1163,Citra,18,L,Surabaya,Kosmetik,Bedak,500000,2024-01-22
1164,Rudi,45,P,,Fashion,Tas,2000000,09/01/2024
1165,Dewi,40,P,Bandung,Kosmetik,Skincare Set,99999999,2024/01/22
1166,Joko,18,L,jakarta,Kosmetik,Bedak,500000,01/01/2024
1167,Gita,25,P,Bogor,Fashion,Sepatu,500000,2024/01/01
1168,Nina,25,L,jakarta,Kosmetik,Bedak,99999999,08-01-2024
1169,Maman,18,P,Jakarta,Elektronik,Headset,500000,28-01-2024
1170,Nina,120,P,jakarta,Kosmetik,Skincare Set,500000,2024-01-13
1171,Fajar,120,P,Bekasi,Fashion,Kaos,2000000,2024-01-28
1172,Nina,120,P,bandung,Elektronik,Laptop,2000000,28-01-2024
1173,Kiki,30,P,Surabaya,Kosmetik,Lipstik,3000000,2024-01-21
1174,Gita,40,P,Surabaya,Kosmetik,Lipstik,500000,05-01-2024
1175,Fajar,120,L,Bandung,Elektronik,Smartphone,,2024/01/21
1176,Rudi,120,P,Bekasi,Fashion,Dress,2000000,2024/01/03
1177,Joko,35,L,Bekasi,Fashion,Kaos,1500000,2024/01/15
1178,Budi,40,P,Bandung,Elektronik,Laptop,3000000,2024/01/20
1179,Budi,,L,Bekasi,Fashion,Tas,3000000,2024-01-05
1180,Dewi,40,L,bandung,Fashion,Dress,500000,2024/01/08
1181,Fajar,40,P,Bogor,Fashion,Tas,2000000,25-01-2024
1182,Budi,40,L,Bekasi,Kosmetik,Lipstik,3000000,2024/01/22
1183,Ika,120,L,Bekasi,Fashion,Kaos,3000000,22/01/2024
1184,Joko,45,L,,Fashion,Kaos,1500000,2024/01/18
1185,Kiki,25,L,jakarta,Kosmetik,Bedak,1500000,01-01-2024
1186,Fajar,30,P,DEPOK,Fashion,Dress,1000000,05/01/2024
1187,Joko,22,L,Bekasi,Elektronik,Mouse,1000000,2024/01/20
1188,Fajar,25,L,DEPOK,Elektronik,Laptop,2000000,12/01/2024
1189,Joko,,L,bandung,Fashion,Dress,1500000,2024/01/31
1190,Lina,120,P,DEPOK,Elektronik,Power Bank,,2024/01/13
1191,Gita,120,L,Bogor,Elektronik,Laptop,99999999,16-01-2024
1192,Dewi,abc,L,Bogor,Kosmetik,Lipstik,,06-01-2024
1193,Eko,45,L,Depok,Fashion,Tas,1500000,2024-01-30
1194,Budi,45,P,Depok,Fashion,Tas,500000,12/01/2024
1195,Kiki,22,P,Surabaya,Elektronik,Smartphone,500000,2024/01/10
1196,Eko,,P,,Kosmetik,Lipstik,500000,01-01-2024
1197,Eko,abc,P,Bandung,Elektronik,Power Bank,1000000,2024-01-10
1198,Hadi,45,P,Bandung,Elektronik,Laptop,,2024/01/29
1199,Andi,abc,L,Surabaya,Kosmetik,Skincare Set,2000000,01-01-2024
1200,Nina,25,L,bandung,Elektronik,Power Bank,500000,2024-01-31
1201,Sari,18,P,Bekasi,Fashion,Sepatu,99999999,01-01-2024
1202,Lina,30,L,,Elektronik,Power Bank,1000000,02-01-2024
1203,Kiki,25,P,DEPOK,Kosmetik,Bedak,1000000,26/01/2024
1204,Rudi,18,P,Depok,Elektronik,Laptop,,2024-01-07
1205,Joko,abc,P,bandung,Fashion,Tas,1500000,02/01/2024
1206,Lina,18,P,Bogor,Fashion,Kaos,,2024/01/12
1207,Rudi,45,P,Surabaya,Fashion,Tas,99999999,16-01-2024
1208,Ika,22,P,Bandung,Kosmetik,Skincare Set,3000000,27/01/2024
1209,Joko,40,L,Bandung,Kosmetik,Skincare Set,99999999,10-01-2024
1210,Nina,25,P,Bekasi,Fashion,Tas,500000,24-01-2024
1211,Nina,35,L,Bandung,Kosmetik,Bedak,99999999,13-01-2024
1212,Fajar,18,L,,Kosmetik,Bedak,,2024-01-15
1213,Citra,30,P,Bekasi,Elektronik,Headset,3000000,02/01/2024
1214,Rudi,40,P,DEPOK,Kosmetik,Lipstik,3000000,05-01-2024
1215,Kiki,35,L,Bandung,Fashion,Kaos,99999999,2024/01/06
1216,Maman,abc,L,Bogor,Kosmetik,Skincare Set,99999999,15/01/2024
1217,Joko,,L,Bandung,Kosmetik,Lipstik,,2024/01/03
1218,Rudi,22,P,Bekasi,Elektronik,Laptop,3000000,18-01-2024
1219,Fajar,25,P,bandung,Fashion,Dress,500000,07/01/2024
1220,Sari,18,P,bandung,Elektronik,Mouse,1500000,15/01/2024
1221,Citra,22,P,jakarta,Kosmetik,Bedak,99999999,2024/01/16
1222,Citra,25,P,Bandung,Fashion,Tas,2000000,22-01-2024
1223,Fajar,25,P,bandung,Elektronik,Laptop,,04/01/2024
1224,Fajar,25,P,Depok,Fashion,Sepatu,3000000,29-01-2024
1225,Ika,30,P,Surabaya,Elektronik,Power Bank,3000000,2024-01-18
1226,Fajar,120,L,Surabaya,Kosmetik,Bedak,3000000,24-01-2024
1227,Budi,18,L,Jakarta,Kosmetik,Bedak,,19-01-2024
1228,Gita,120,P,,Kosmetik,Bedak,500000,16-01-2024
1229,Joko,,L,jakarta,Kosmetik,Skincare Set,2000000,2024-01-03
1230,Rudi,45,P,DEPOK,Elektronik,Smartphone,1500000,20/01/2024
1231,Kiki,40,P,Surabaya,Fashion,Sepatu,3000000,2024-01-18
1232,Hadi,,L,Bogor,Fashion,Tas,1000000,2024-01-05
1233,Joko,45,P,Depok,Elektronik,Smartphone,,11-01-2024
1234,Fajar,,P,DEPOK,Elektronik,Power Bank,2000000,2024-01-01
1235,Rudi,30,L,,Fashion,Sepatu,500000,02-01-2024
1236,Sari,35,L,Bandung,Fashion,Tas,1000000,29-01-2024
1237,Lina,45,P,Jakarta,Kosmetik,Skincare Set,500000,19/01/2024
1238,Joko,22,P,bandung,Fashion,Tas,,18-01-2024
1239,Dewi,25,L,jakarta,Kosmetik,Skincare Set,,11-01-2024
1240,Gita,120,P,bandung,Elektronik,Laptop,500000,02/01/2024
1100,Kiki,,P,Surabaya,Kosmetik,Bedak,3000000,05-01-2024
1242,Kiki,25,P,,Kosmetik,Bedak,,10-01-2024
1243,Sari,120,P,DEPOK,Kosmetik,Lipstik,1500000,2024-01-11
1244,Joko,18,P,Bogor,Fashion,Dress,99999999,2024/01/02
1245,Maman,25,L,Jakarta,Elektronik,Mouse,99999999,04/01/2024
1246,Rudi,40,P,Surabaya,Elektronik,Headset,99999999,2024/01/07
1247,Sari,18,L,bandung,Kosmetik,Lipstik,3000000,2024/01/11
1248,Maman,40,L,DEPOK,Kosmetik,Bedak,1500000,18-01-2024
1249,Ika,120,P,Depok,Kosmetik,Lipstik,1500000,18-01-2024
1250,Joko,35,L,DEPOK,Elektronik,Power Bank,2000000,12-01-2024
1251,Dewi,120,P,jakarta,Fashion,Sepatu,,26/01/2024
1252,Budi,35,L,Bekasi,Fashion,Tas,99999999,2024/01/09
1253,Gita,abc,P,bandung,Elektronik,Power Bank,1000000,04/01/2024
1254,Budi,abc,L,Depok,Elektronik,Laptop,500000,14-01-2024
1255,Sari,22,L,Jakarta,Kosmetik,Bedak,1000000,2024/01/14
1256,Gita,35,P,Bogor,Fashion,Kaos,,03/01/2024
1257,Budi,25,P,Surabaya,Kosmetik,Lipstik,,2024/01/13
1258,Joko,18,L,Bogor,Elektronik,Mouse,3000000,04-01-2024
1259,Rudi,abc,P,Surabaya,Fashion,Tas,1500000,2024-01-07
1260,Fajar,,P,Surabaya,Fashion,Kaos,99999999,11-01-2024
1261,Gita,25,P,jakarta,Kosmetik,Bedak,1500000,2024/01/03
1262,Dewi,25,L,DEPOK,Kosmetik,Skincare Set,1000000,01-01-2024
1263,Hadi,,P,Bekasi,Fashion,Sepatu,3000000,2024-01-24
1264,Lina,30,L,Bandung,Fashion,Tas,1500000,2024/01/06
1265,Joko,22,P,Bekasi,Kosmetik,Bedak,1000000,08/01/2024
1266,Eko,,P,jakarta,Fashion,Tas,,18/01/2024
1267,Citra,abc,P,bandung,Elektronik,Power Bank,500000,2024-01-30
1268,Gita,120,L,Surabaya,Elektronik,Power Bank,,2024/01/17
1269,Gita,120,P,Bandung,Elektronik,Mouse,2000000,2024-01-26
1270,Eko,abc,P,DEPOK,Fashion,Kaos,3000000,15-01-2024
1271,Andi,45,P,Jakarta,Kosmetik,Bedak,1000000,2024-01-19
1272,Nina,40,L,bandung,Elektronik,Laptop,500000,2024/01/30
1273,Joko,45,L,Surabaya,Elektronik,Headset,1500000,2024/01/29
1274,Maman,45,L,bandung,Fashion,Dress,99999999,28-01-2024
1275,Fajar,abc,P,bandung,Elektronik,Smartphone,99999999,2024-01-08
1276,Joko,,P,bandung,Elektronik,Headset,,08/01/2024
1277,Lina,25,P,Depok,Fashion,Kaos,500000,2024/01/26
1278,Andi,30,L,Bandung,Kosmetik,Lipstik,3000000,2024/01/02
1279,Budi,30,L,jakarta,Kosmetik,Skincare Set,1000000,18/01/2024
1280,Eko,abc,P,Depok,Elektronik,Mouse,1500000,19-01-2024
1281,Joko,25,L,jakarta,Elektronik,Power Bank,1500000,02/01/2024
1282,Nina,abc,P,Jakarta,Kosmetik,Skincare Set,99999999,2024/01/22
1283,Kiki,45,P,Surabaya,Kosmetik,Skincare Set,2000000,2024/01/06
1284,Hadi,35,L,DEPOK,Elektronik,Laptop,3000000,2024/01/14
1285,Eko,45,L,Bogor,Kosmetik,Lipstik,1500000,2024-01-21
1286,Lina,22,L,Jakarta,Fashion,Sepatu,2000000,2024-01-22
1287,Gita,120,L,DEPOK,Elektronik,Smartphone,,30-01-2024
1288,Andi,30,L,Bandung,Fashion,Tas,1000000,23/01/2024
1289,Hadi,abc,P,Bogor,Fashion,Tas,2000000,18-01-2024
1290,Ika,40,P,DEPOK,Fashion,Kaos,,2024/01/24
1291,Gita,40,P,jakarta,Fashion,Kaos,3000000,28/01/2024
1292,Eko,18,P,bandung,Kosmetik,Bedak,3000000,2024/01/24
1293,Eko,30,P,Depok,Fashion,Tas,3000000,27/01/2024
1294,Kiki,35,P,DEPOK,Fashion,Tas,1000000,24-01-2024
1295,Eko,abc,P,Surabaya,Elektronik,Mouse,99999999,2024-01-31
1296,Budi,22,L,Jakarta,Kosmetik,Skincare Set,1000000,27/01/2024
1297,Eko,18,L,bandung,Elektronik,Headset,1500000,2024/01/02
1298,Sari,18,L,bandung,Kosmetik,Bedak,2000000,2024-01-01
1299,Ika,abc,P,Jakarta,Kosmetik,Bedak,,2024/01/23
1300,Dewi,22,L,Depok,Elektronik,Smartphone,3000000,17-01-2024
1301,Ika,45,L,Bekasi,Fashion,Tas,2000000,19/01/2024
1302,Hadi,35,L,Jakarta,Kosmetik,Lipstik,2000000,2024/01/13
1303,Sari,18,L,Surabaya,Kosmetik,Lipstik,2000000,2024/01/28
1304,Kiki,120,L,bandung,Kosmetik,Lipstik,1000000,2024/01/07
1305,Budi,22,P,bandung,Fashion,Kaos,1000000,30-01-2024
1306,Gita,120,L,jakarta,Elektronik,Laptop,1500000,06/01/2024
1307,Maman,abc,P,jakarta,Kosmetik,Bedak,1000000,2024-01-26
1308,Lina,18,L,jakarta,Kosmetik,Lipstik,,03-01-2024
1309,Maman,40,L,Bogor,Kosmetik,Skincare Set,2000000,08-01-2024
1310,Maman,45,L,,Kosmetik,Bedak,2000000,03-01-2024
1311,Citra,22,P,Surabaya,Elektronik,Headset,99999999,26/01/2024
1312,Maman,40,P,Bandung,Kosmetik,Lipstik,500000,31-01-2024
1313,Lina,35,L,Surabaya,Fashion,Kaos,1000000,2024/01/14
1314,Nina,22,L,Bandung,Kosmetik,Skincare Set,3000000,03-01-2024
1315,Andi,35,P,jakarta,Fashion,Kaos,99999999,29/01/2024
1316,Fajar,45,L,Surabaya,Kosmetik,Skincare Set,1500000,2024/01/09
1317,Citra,25,P,Bogor,Elektronik,Headset,1500000,2024-01-16
1318,Ika,30,P,,Fashion,Dress,2000000,04/01/2024
1319,Andi,45,P,,Fashion,Tas,,28-01-2024
1320,Kiki,45,L,Bogor,Fashion,Sepatu,3000000,31/01/2024
1321,Kiki,25,P,Bekasi,Fashion,Sepatu,99999999,2024/01/23
1322,Hadi,40,P,Bogor,Kosmetik,Skincare Set,1500000,04/01/2024
1323,Fajar,abc,L,DEPOK,Kosmetik,Bedak,1000000,15-01-2024
1324,Citra,45,P,Surabaya,Kosmetik,Bedak,1500000,08-01-2024
1325,Eko,45,P,Bandung,Kosmetik,Skincare Set,3000000,2024/01/16
1326,Nina,abc,L,Bekasi,Kosmetik,Bedak,,2024-01-18
1327,Hadi,40,L,,Elektronik,Laptop,3000000,2024/01/21
1328,Nina,22,L,Bandung,Fashion,Sepatu,1000000,17/01/2024
1329,Lina,45,P,,Fashion,Dress,1500000,2024/01/01
1330,Joko,45,L,Bandung,Elektronik,Smartphone,1500000,10-01-2024
1331,Gita,abc,P,Bekasi,Fashion,Tas,500000,2024/01/15
1332,Citra,35,L,Bandung,Fashion,Kaos,,2024-01-11
1333,Fajar,30,L,bandung,Kosmetik,Lipstik,1500000,2024/01/18
1334,Hadi,45,L,Surabaya,Fashion,Tas,2000000,01/01/2024
1335,Nina,45,L,Depok,Fashion,Dress,1500000,2024-01-25
1336,Dewi,abc,L,Bekasi,Kosmetik,Skincare Set,1000000,2024-01-15
1337,Sari,abc,P,,Fashion,Tas,3000000,2024-01-13
1338,Lina,,L,Bogor,Fashion,Kaos,99999999,05-01-2024
1339,Hadi,35,L,Surabaya,Elektronik,Power Bank,99999999,2024/01/05
1340,Eko,120,P,jakarta,Fashion,Dress,2000000,21/01/2024
1341,Fajar,,P,Surabaya,Kosmetik,Lipstik,1500000,2024/01/27
1342,Budi,40,L,DEPOK,Kosmetik,Lipstik,1000000,2024/01/27
1343,Sari,45,P,jakarta,Kosmetik,Bedak,,2024/01/15
1344,Citra,120,L,Depok,Elektronik,Power Bank,500000,09/01/2024
1345,Joko,25,P,,Kosmetik,Bedak,,2024/01/25
1346,Dewi,120,L,Bogor,Kosmetik,Bedak,,2024-01-12
1347,Rudi,abc,L,jakarta,Kosmetik,Lipstik,99999999,27/01/2024
1348,Budi,,P,Bekasi,Fashion,Kaos,2000000,2024-01-28
1349,Gita,120,P,,Elektronik,Headset,1000000,20/01/2024
1350,Gita,18,P,bandung,Elektronik,Power Bank,3000000,18/01/2024
1351,Joko,35,P,bandung,Fashion,Kaos,1000000,2024/01/31
1352,Ika,25,L,Depok,Elektronik,Smartphone,99999999,11/01/2024
1353,Maman,,L,,Kosmetik,Bedak,1500000,2024/01/21
1354,Rudi,22,L,jakarta,Fashion,Sepatu,99999999,30-01-2024
1355,Sari,40,L,Bandung,Fashion,Tas,99999999,22-01-2024
1356,Maman,30,P,Depok,Elektronik,Headset,1500000,11-01-2024
1357,Eko,120,P,Bekasi,Fashion,Kaos,500000,2024/01/04
1358,Dewi,25,P,DEPOK,Elektronik,Laptop,2000000,07/01/2024
1359,Joko,25,P,Bandung,Kosmetik,Bedak,1500000,2024-01-09
1360,Fajar,18,P,Bogor,Fashion,Dress,2000000,2024-01-21
1100,Dewi,18,L,DEPOK,Kosmetik,Lipstik,1000000,19/01/2024
1362,Rudi,18,L,Bekasi,Kosmetik,Lipstik,,14/01/2024
1363,Citra,30,P,Bandung,Fashion,Kaos,500000,11-01-2024
1364,Eko,45,L,Surabaya,Fashion,Kaos,3000000,2024-01-19
1365,Fajar,,P,Depok,Kosmetik,Bedak,99999999,2024/01/05
1366,Rudi,30,L,Bandung,Kosmetik,Lipstik,,2024/01/04
1367,Nina,40,L,Depok,Fashion,Sepatu,99999999,03/01/2024
