id_customer,nama_customer,usia,gender,kota,kategori_produk,produk,nilai_transaksi,tanggal_beli
2090,Sinta,40,P,Bandung,Fashion,Dress,1200000,2024-02-03
2091,Adi,30,L,Bandung,Fashion,Tas,,2024/02/14
2092,Rama,45,L,Bandung,Kosmetik,Serum,85000000,13-02-2024
2093,Rina,22,P,Surabaya,Fashion,Kaos,150000,2024/02/15
2094,Rina,18,L,Bogor,Kosmetik,Serum,1200000,05-02-2024
2095,Sari,40,L,,Kosmetik,Lipstik,,05/02/2024
2096,Lina,,L,Bogor,Fashion,Dress,750000,2024/02/15
2097,Sari,,P,Bogor,Fashion,Tas,1200000,2024/02/03
2098,Sinta,150,P,bandung,Fashion,Jaket,500000,2024-02-08
2099,Wulan,45,P,Bogor,Elektronik,Mouse,750000,10/02/2024
2100,Lina,45,L,bandung,Kosmetik,Lipstik,2000000,15/02/2024
2101,Rina,150,L,Surabaya,Elektronik,Monitor,1200000,14/02/2024
2102,Sari,35,L,Depok,Elektronik,Power Bank,750000,2024-02-19
2103,Irwan,30,P,Jakarta,Fashion,Dress,500000,11/02/2024
2104,Rama,22,L,Jakarta,Fashion,Sepatu,750000,03/02/2024
2105,Fahmi,25,L,,Fashion,Jaket,150000,20/02/2024
2106,Sinta,45,L,Depok,Kosmetik,Serum,500000,15/02/2024
2107,Rina,45,L,DEPOK,Kosmetik,Serum,85000000,14/02/2024
2108,Adi,30,L,Bogor,Kosmetik,Bedak,500000,19/02/2024
2109,Bayu,25,L,DEPOK,Elektronik,Keyboard,300000,04-02-2024
2110,Adi,18,P,bandung,Kosmetik,Skincare,750000,2024/02/20
2111,Tina,22,P,Bogor,Kosmetik,Serum,1200000,08/02/2024
2112,Lina,30,L,Bandung,Kosmetik,Bedak,1200000,2024-02-16
2113,Sari,40,L,bandung,Elektronik,Mouse,1200000,2024/02/04
2114,Rama,25,P,Bekasi,Kosmetik,Skincare,,15-02-2024
2115,Wulan,,P,Bekasi,Elektronik,Power Bank,300000,08-02-2024
2116,Doni,35,L,Bandung,Kosmetik,Lipstik,2000000,2024/02/12
2117,Fahmi,25,L,Depok,Fashion,Dress,2000000,2024/02/07
2118,Tina,abc,L,bandung,Elektronik,Power Bank,85000000,06-02-2024
2119,Rina,45,P,Jakarta,Kosmetik,Skincare,,08/02/2024
2120,Nia,40,P,Bekasi,Elektronik,Keyboard,150000,2024/02/21
2121,Sari,18,L,Jakarta,Fashion,Sepatu,500000,09/02/2024
2122,Adi,25,L,,Fashion,Dress,500000,21-02-2024
2123,Bayu,,L,bandung,Fashion,Jaket,85000000,09-02-2024
2124,Sinta,30,P,Bogor,Elektronik,Laptop,2000000,2024/02/06
2125,Agus,,P,Jakarta,Fashion,Kaos,750000,2024/02/05
2126,Lina,22,P,Jakarta,Fashion,Jaket,2000000,05/02/2024
2127,Rama,22,L,,Elektronik,Mouse,,2024/02/18
2128,Hendra,30,P,bandung,Fashion,Dress,750000,2024-02-07
2129,Hendra,abc,L,Bogor,Kosmetik,Serum,,10/02/2024
2130,Tina,45,P,Surabaya,Kosmetik,Skincare,500000,03-02-2024
2131,Lina,40,L,DEPOK,Kosmetik,Lipstik,150000,2024-02-12
2132,Nia,45,P,Bandung,Kosmetik,Skincare,750000,2024/02/10
2133,Sari,150,P,Depok,Elektronik,Mouse,2000000,2024/02/10
2134,Wulan,35,P,Bekasi,Kosmetik,Serum,500000,2024/02/15
2135,Sinta,25,L,bandung,Kosmetik,Lipstik,2000000,2024/02/13
2136,Lina,30,P,Jakarta,Kosmetik,Skincare,750000,06/02/2024
2137,Lina,45,L,,Fashion,Tas,85000000,2024-02-07
2138,Wulan,150,L,Surabaya,Elektronik,Smartphone,150000,16-02-2024
2139,Lina,45,P,,Fashion,Kaos,1200000,2024/02/21
2140,Adi,150,P,Surabaya,Kosmetik,Serum,750000,2024-02-12
2141,Agus,45,P,DEPOK,Elektronik,Monitor,300000,2024/02/01
2142,Nia,18,P,Bandung,Elektronik,Smartphone,300000,05-02-2024
2143,Lina,35,L,Depok,Kosmetik,Skincare,,2024-02-01
2144,Bayu,30,P,Bekasi,Elektronik,Mouse,500000,2024/02/06
2145,Sari,150,L,Bandung,Kosmetik,Bedak,300000,2024-02-15
2146,Wulan,40,L,Surabaya,Kosmetik,Bedak,750000,18/02/2024
2147,Lina,30,L,Bandung,Elektronik,Monitor,1200000,20-02-2024
2148,Lina,30,L,Bogor,Elektronik,Power Bank,2000000,04/02/2024
2149,Irwan,35,L,Bandung,Kosmetik,Serum,300000,2024/02/17
2150,Rina,40,P,Depok,Elektronik,Mouse,85000000,2024-02-16
2151,Agus,18,L,Bandung,Elektronik,Headset,85000000,2024-02-07
2152,Wulan,30,P,Surabaya,Kosmetik,Skincare,500000,20-02-2024
2153,Sinta,,L,Bandung,Fashion,Sepatu,300000,2024/02/09
2154,Wulan,,P,Bandung,Kosmetik,Skincare,,05-02-2024
2155,Wulan,abc,P,DEPOK,Kosmetik,Serum,500000,07/02/2024
2156,Sari,40,L,Bandung,Kosmetik,Bedak,750000,2024/02/15
2157,Wulan,45,P,Bekasi,Elektronik,Mouse,1200000,2024-02-18
2158,Bayu,22,P,Surabaya,Kosmetik,Skincare,,14/02/2024
2159,Sari,22,P,Surabaya,Kosmetik,Skincare,300000,04-02-2024
2160,Adi,40,P,Bogor,Fashion,Kaos,750000,2024-02-19
2090,Fahmi,40,P,Jakarta,Kosmetik,Serum,750000,2024/02/10
2162,Bayu,30,P,Bandung,Kosmetik,Skincare,750000,06-02-2024
2163,Rina,25,P,Bandung,Elektronik,Headset,2000000,2024/02/08
2164,Tina,,L,Jakarta,Kosmetik,Serum,150000,2024/02/08
2165,Adi,35,P,Bogor,Fashion,Kaos,750000,15/02/2024
2166,Tina,18,P,Bogor,Elektronik,Monitor,500000,2024-02-14
2167,Agus,,L,Jakarta,Elektronik,Monitor,500000,04/02/2024
2168,Agus,abc,L,Jakarta,Elektronik,Laptop,750000,2024/02/15
2169,Tina,abc,P,Surabaya,Kosmetik,Bedak,,2024-02-04
2170,Nia,35,L,bandung,Kosmetik,Serum,150000,18/02/2024
2171,Lina,35,L,DEPOK,Elektronik,Laptop,85000000,05-02-2024
2172,Sari,abc,P,Bogor,Kosmetik,Skincare,300000,2024/02/08
2173,Rina,22,L,Bekasi,Kosmetik,Lipstik,750000,2024/02/10
2174,Fahmi,18,P,DEPOK,Kosmetik,Skincare,750000,2024-02-13
2175,Bayu,150,P,Bekasi,Kosmetik,Lipstik,750000,2024-02-07
2176,Bayu,abc,L,Surabaya,Elektronik,Power Bank,85000000,10/02/2024
2177,Sinta,18,P,,Kosmetik,Serum,85000000,2024-02-03
2178,Hendra,45,P,Bekasi,Fashion,Jaket,1200000,2024/02/15
2179,Adi,25,L,bandung,Fashion,Kaos,2000000,2024-02-07
2180,Tina,18,P,Surabaya,Kosmetik,Lipstik,750000,10-02-2024
2181,Agus,35,L,Bogor,Kosmetik,Skincare,,2024-02-18
2182,Doni,35,P,Jakarta,Fashion,Kaos,150000,2024-02-12
2183,Irwan,22,L,Jakarta,Fashion,Jaket,,2024-02-17
2184,Doni,35,P,,Elektronik,Headset,1200000,20/02/2024
2185,Lina,30,P,bandung,Kosmetik,Skincare,150000,06-02-2024
2186,Nia,,L,Bekasi,Fashion,Sepatu,150000,2024/02/07
2187,Irwan,40,P,Bekasi,Elektronik,Power Bank,2000000,2024-02-20
2188,Hendra,150,L,Bekasi,Elektronik,Power Bank,750000,17-02-2024
2189,Wulan,30,P,Bogor,Kosmetik,Skincare,2000000,16-02-2024
2190,Fahmi,40,P,DEPOK,Kosmetik,Lipstik,300000,13/02/2024
2191,Tina,35,P,Bandung,Kosmetik,Serum,1200000,2024-02-04
2192,Sari,40,L,Bekasi,Elektronik,Keyboard,300000,21/02/2024
2193,Sinta,45,L,bandung,Fashion,Kaos,,06/02/2024
2194,Lina,abc,L,Surabaya,Elektronik,Laptop,150000,18/02/2024
2195,Lina,40,L,,Elektronik,Keyboard,750000,2024/02/16
2196,Adi,40,L,Surabaya,Fashion,Tas,750000,2024-02-17
2197,Nia,22,L,Jakarta,Fashion,Jaket,300000,12/02/2024
2198,Irwan,,P,DEPOK,Kosmetik,Lipstik,150000,2024-02-08
2199,Adi,18,P,Depok,Kosmetik,Skincare,300000,2024-02-10
2200,Sari,abc,P,DEPOK,Fashion,Sepatu,300000,2024/02/05
2201,Wulan,30,L,bandung,Fashion,Sepatu,750000,13-02-2024
2202,Adi,40,L,Jakarta,Fashion,Tas,300000,15-02-2024
2203,Rina,40,P,Bandung,Kosmetik,Serum,150000,2024/02/06
2204,Wulan,45,P,,Fashion,Sepatu,1200000,2024/02/12
2205,Nia,,P,bandung,Elektronik,Laptop,1200000,11/02/2024
2206,Agus,22,L,,Elektronik,Power Bank,85000000,2024/02/02
2207,Sari,40,L,Jakarta,Elektronik,Headset,150000,2024-02-10
2208,Bayu,25,P,Surabaya,Fashion,Sepatu,500000,04/02/2024
2209,Sinta,40,P,,Kosmetik,Skincare,85000000,16-02-2024
2210,Bayu,22,P,Bogor,Elektronik,Smartphone,85000000,2024-02-09
2211,Sinta,30,P,Jakarta,Elektronik,Monitor,750000,2024/02/05
2212,Irwan,150,L,Bekasi,Kosmetik,Bedak,300000,2024-02-10
2213,Irwan,abc,L,Surabaya,Elektronik,Power Bank,1200000,12-02-2024
2214,Rina,45,P,Bogor,Kosmetik,Lipstik,150000,14-02-2024
2215,Lina,35,P,Surabaya,Elektronik,Power Bank,2000000,13/02/2024
2216,Adi,150,P,Bogor,Elektronik,Smartphone,85000000,15-02-2024
2217,Bayu,abc,P,Bogor,Kosmetik,Serum,750000,02-02-2024
2218,Rama,25,P,Jakarta,Kosmetik,Skincare,150000,03/02/2024
2219,Lina,,L,Bandung,Elektronik,Monitor,750000,2024-02-18
2220,Nia,abc,L,Surabaya,Elektronik,Keyboard,300000,13/02/2024
2221,Lina,,L,Jakarta,Kosmetik,Lipstik,,21-02-2024
2222,Wulan,22,P,bandung,Elektronik,Power Bank,2000000,2024-02-20
2223,Wulan,18,P,,Elektronik,Keyboard,,2024-02-09
2224,Wulan,150,P,bandung,Fashion,Kaos,2000000,12/02/2024
2225,Doni,abc,P,Surabaya,Fashion,Kaos,85000000,01/02/2024
2226,Rama,,P,,Fashion,Dress,85000000,2024/02/21
2227,Irwan,40,P,,Kosmetik,Serum,2000000,12-02-2024
2228,Irwan,40,P,,Kosmetik,Serum,85000000,07/02/2024
2229,Nia,18,L,Bekasi,Kosmetik,Lipstik,,2024-02-09
2230,Rina,150,L,Bogor,Fashion,Jaket,500000,18-02-2024
2231,Rama,,P,Bandung,Fashion,Jaket,2000000,2024/02/05
2232,Rama,18,P,Bandung,Kosmetik,Serum,500000,21/02/2024
2233,Lina,35,P,Bandung,Kosmetik,Serum,150000,2024/02/01
2234,Rina,,L,DEPOK,Kosmetik,Skincare,2000000,08-02-2024
2235,Hendra,35,P,bandung,Elektronik,Keyboard,750000,09/02/2024
2236,Rina,abc,P,Bogor,Elektronik,Mouse,1200000,08-02-2024
2237,Adi,,L,Bogor,Elektronik,Smartphone,150000,2024/02/19
2238,Sari,22,L,DEPOK,Elektronik,Headset,300000,03/02/2024
2239,Doni,40,P,Bandung,Kosmetik,Skincare,85000000,2024/02/15
2240,Wulan,,L,bandung,Kosmetik,Serum,85000000,2024-02-16
2090,Fahmi,,P,Depok,Kosmetik,Skincare,,2024/02/21
2242,Sari,35,L,DEPOK,Kosmetik,Serum,,2024-02-19
2243,Fahmi,22,P,Jakarta,Fashion,Kaos,150000,04-02-2024
2244,Lina,abc,L,Surabaya,Elektronik,Mouse,150000,2024/02/07
2245,Sinta,,P,Bandung,Kosmetik,Lipstik,2000000,15/02/2024
2246,Sinta,30,L,Bekasi,Elektronik,Keyboard,500000,01-02-2024
2247,Lina,40,L,Bogor,Elektronik,Headset,300000,04/02/2024
2248,Nia,40,P,DEPOK,Kosmetik,Bedak,750000,03-02-2024
2249,Tina,30,L,Bogor,Elektronik,Laptop,500000,2024-02-21
2250,Fahmi,45,L,bandung,Fashion,Sepatu,2000000,13-02-2024
2251,Lina,,L,DEPOK,Kosmetik,Serum,85000000,11-02-2024
2252,Fahmi,40,P,Bogor,Elektronik,Headset,500000,2024-02-08
2253,Tina,18,L,,Fashion,Dress,500000,16-02-2024
2254,Lina,,P,Bogor,Kosmetik,Bedak,1200000,2024/02/08
2255,Sari,150,L,Bogor,Fashion,Jaket,300000,19/02/2024
2256,Nia,30,L,Surabaya,Kosmetik,Skincare,750000,2024-02-14
2257,Tina,,L,,Kosmetik,Bedak,2000000,05-02-2024
2258,Rama,40,P,Depok,Kosmetik,Serum,150000,14-02-2024
2259,Doni,40,L,DEPOK,Kosmetik,Lipstik,1200000,20/02/2024
2260,Doni,22,L,bandung,Elektronik,Headset,2000000,06/02/2024
2261,Tina,30,P,Jakarta,Kosmetik,Lipstik,750000,2024/02/19
2262,Rina,18,L,DEPOK,Fashion,Kaos,1200000,05-02-2024
2263,Wulan,30,P,Surabaya,Fashion,Dress,1200000,2024-02-21
2264,Rina,abc,L,Jakarta,Elektronik,Monitor,,2024-02-09
2265,Sinta,150,L,Surabaya,Kosmetik,Bedak,500000,13-02-2024
2266,Adi,abc,P,Jakarta,Kosmetik,Serum,1200000,01/02/2024
2267,Tina,18,P,Depok,Fashion,Sepatu,500000,2024/02/03
2268,Lina,150,L,Depok,Fashion,Jaket,85000000,2024-02-18
2269,Nia,40,L,bandung,Kosmetik,Lipstik,,01/02/2024
2270,Irwan,45,L,Bandung,Kosmetik,Serum,,09/02/2024
2271,Doni,40,P,Surabaya,Kosmetik,Serum,750000,2024/02/01
2272,Irwan,30,P,Bandung,Elektronik,Laptop,1200000,17-02-2024
2273,Lina,25,L,Surabaya,Fashion,Dress,,2024-02-06
2274,Irwan,25,L,Depok,Kosmetik,Skincare,2000000,08/02/2024
2275,Irwan,22,P,Jakarta,Kosmetik,Lipstik,750000,2024-02-16
2276,Doni,18,L,Bogor,Kosmetik,Skincare,750000,2024/02/15
2277,Lina,abc,L,Jakarta,Fashion,Tas,2000000,2024/02/19
2278,Agus,18,P,,Elektronik,Monitor,150000,14/02/2024
2279,Lina,150,L,Bandung,Elektronik,Mouse,500000,14-02-2024
2280,Sinta,22,P,DEPOK,Fashion,Kaos,750000,10-02-2024
2281,Adi,150,L,Bogor,Elektronik,Headset,750000,2024-02-14
2282,Sari,25,L,,Elektronik,Headset,,2024/02/03
2283,Sari,18,L,Bandung,Elektronik,Headset,150000,18-02-2024
2284,Lina,abc,L,Surabaya,Elektronik,Keyboard,,2024/02/05
2285,Adi,30,P,Depok,Elektronik,Headset,1200000,19/02/2024
2286,Adi,22,L,Depok,Elektronik,Smartphone,300000,2024-02-03
2287,Hendra,25,L,bandung,Fashion,Dress,,2024/02/07
2288,Irwan,18,L,Jakarta,Kosmetik,Lipstik,2000000,2024/02/12
2289,Adi,25,P,Jakarta,Elektronik,Mouse,2000000,07/02/2024
2290,Fahmi,40,P,Jakarta,Fashion,Kaos,750000,13-02-2024
2291,Adi,45,P,Jakarta,Fashion,Dress,1200000,21-02-2024
2292,Rina,abc,P,Jakarta,Fashion,Kaos,150000,2024-02-19
2293,Sinta,45,P,Bandung,Kosmetik,Skincare,300000,05-02-2024
2294,Rama,35,L,DEPOK,Fashion,Dress,1200000,2024-02-15
2295,Sari,,P,Depok,Kosmetik,Lipstik,500000,2024-02-13
2296,Nia,25,P,Bekasi,Kosmetik,Lipstik,85000000,2024/02/09
2297,Nia,35,P,Surabaya,Elektronik,Smartphone,,2024-02-14
2298,Doni,45,P,DEPOK,Elektronik,Headset,2000000,15-02-2024
2299,Adi,abc,L,Depok,Fashion,Kaos,150000,02-02-2024
2300,Rama,45,P,Bekasi,Elektronik,Headset,2000000,2024/02/09
2301,Bayu,abc,P,Jakarta,Kosmetik,Skincare,500000,20/02/2024
2302,Nia,,L,Jakarta,Elektronik,Smartphone,1200000,2024/02/18
2303,Doni,22,L,Depok,Kosmetik,Serum,,2024/02/04
2304,Doni,abc,L,Jakarta,Fashion,Sepatu,750000,2024-02-16
2305,Hendra,40,L,Bogor,Kosmetik,Lipstik,85000000,2024-02-05
2306,Rina,22,L,DEPOK,Fashion,Sepatu,,01-02-2024
2307,Doni,,L,Jakarta,Fashion,Jaket,500000,2024-02-21
2308,Lina,40,L,Bogor,Elektronik,Headset,750000,2024/02/07
2309,Sinta,,P,Bandung,Elektronik,Headset,750000,15/02/2024
2310,Tina,abc,L,Surabaya,Elektronik,Mouse,300000,2024-02-13
2311,Wulan,30,L,Bogor,Kosmetik,Lipstik,300000,05-02-2024
2312,Irwan,30,L,Bogor,Kosmetik,Serum,1200000,01/02/2024
2313,Bayu,40,L,Depok,Kosmetik,Serum,85000000,2024/02/02
2314,Doni,abc,L,Jakarta,Kosmetik,Serum,1200000,2024-02-13
2315,Sinta,35,P,Bandung,Elektronik,Monitor,500000,13/02/2024
2316,Rama,18,L,DEPOK,Kosmetik,Lipstik,1200000,2024-02-09
2317,Rama,,P,bandung,Fashion,Tas,150000,14/02/2024
2318,Sinta,45,P,Surabaya,Kosmetik,Serum,2000000,08-02-2024
2319,Doni,25,P,Bekasi,Fashion,Dress,150000,2024-02-03
2320,Wulan,30,L,,Fashion,Kaos,85000000,2024/02/01
2090,Bayu,45,L,DEPOK,Elektronik,Laptop,750000,2024-02-01
2322,Rama,30,L,Bogor,Fashion,Tas,1200000,2024/02/11
2323,Irwan,abc,L,,Kosmetik,Bedak,85000000,2024/02/14
2324,Hendra,150,P,Jakarta,Fashion,Dress,85000000,2024-02-06
2325,Sari,22,P,Bogor,Fashion,Jaket,150000,02/02/2024
2326,Hendra,30,L,Bekasi,Elektronik,Power Bank,750000,2024/02/08
2327,Tina,22,P,Depok,Fashion,Tas,300000,16/02/2024
2328,Adi,18,L,Depok,Elektronik,Headset,85000000,2024/02/20
2329,Sinta,30,P,,Kosmetik,Serum,,02-02-2024
2330,Sari,25,P,DEPOK,Kosmetik,Serum,500000,2024-02-05
2331,Irwan,35,P,Bogor,Fashion,Sepatu,,2024-02-15
2332,Lina,abc,L,Depok,Elektronik,Monitor,1200000,06-02-2024
2333,Hendra,35,L,,Fashion,Kaos,2000000,10-02-2024
2334,Tina,25,L,Bekasi,Kosmetik,Bedak,1200000,15-02-2024
2335,Irwan,22,L,Bogor,Fashion,Dress,500000,03-02-2024
2336,Doni,40,L,Surabaya,Kosmetik,Lipstik,85000000,14-02-2024
2337,Lina,30,L,Bekasi,Elektronik,Power Bank,500000,2024-02-07
2338,Sinta,25,L,bandung,Kosmetik,Lipstik,,2024/02/06
2339,Nia,45,P,Jakarta,Elektronik,Keyboard,,2024/02/02
2340,Agus,35,P,Bogor,Elektronik,Keyboard,750000,16-02-2024
2341,Adi,,L,DEPOK,Elektronik,Power Bank,500000,2024/02/11
2342,Wulan,40,L,,Fashion,Sepatu,85000000,2024/02/03
2343,Sinta,35,P,Bandung,Fashion,Dress,1200000,02-02-2024
2344,Hendra,30,P,,Fashion,Kaos,500000,17/02/2024
2345,Wulan,22,L,bandung,Elektronik,Keyboard,750000,14/02/2024
2346,Rama,45,L,Surabaya,Elektronik,Power Bank,300000,2024/02/13
2347,Fahmi,22,P,Bogor,Elektronik,Mouse,,10-02-2024
2348,Sari,30,P,Bekasi,Kosmetik,Lipstik,150000,2024-02-18
2349,Rama,18,L,Depok,Fashion,Sepatu,2000000,2024/02/20
2350,Nia,150,P,DEPOK,Elektronik,Headset,150000,2024/02/17
2351,Tina,35,L,DEPOK,Kosmetik,Lipstik,150000,2024/02/15
2352,Rama,30,L,Depok,Fashion,Tas,150000,02-02-2024
2353,Rina,,P,Depok,Fashion,Jaket,1200000,2024/02/07
2354,Agus,,L,Depok,Kosmetik,Skincare,2000000,2024-02-13
2355,Fahmi,150,P,Bogor,Kosmetik,Skincare,500000,2024/02/10
2356,Bayu,25,P,Jakarta,Kosmetik,Serum,,2024-02-15
2357,Wulan,150,P,Jakarta,Kosmetik,Lipstik,,2024-02-14
2358,Lina,18,P,Bandung,Kosmetik,Skincare,85000000,2024-02-02
2359,Lina,40,L,,Elektronik,Laptop,,19-02-2024
2360,Tina,40,P,,Elektronik,Headset,300000,18/02/2024
2361,Tina,150,L,Jakarta,Fashion,Dress,,07/02/2024
2362,Adi,150,L,Bekasi,Kosmetik,Lipstik,1200000,2024-02-07
2363,Doni,18,P,Bogor,Elektronik,Laptop,750000,2024-02-18
2364,Rina,22,L,bandung,Fashion,Kaos,,18-02-2024
2365,Sinta,22,L,Bandung,Kosmetik,Serum,1200000,19/02/2024
2366,Wulan,abc,L,Depok,Kosmetik,Skincare,1200000,2024-02-04
2367,Bayu,30,P,bandung,Elektronik,Mouse,300000,02/02/2024
2368,Rama,25,P,,Kosmetik,Lipstik,85000000,2024/02/08
2369,Sinta,22,P,DEPOK,Kosmetik,Skincare,500000,13-02-2024
2370,Hendra,18,P,Bekasi,Fashion,Sepatu,300000,2024-02-20
2371,Sari,22,P,,Fashion,Kaos,300000,11-02-2024
